Roll,Pitch,Direction
94,100,Motionless
93,100,Motionless
93,99,Motionless
92,99,Motionless
92,99,Motionless
92,99,Motionless
92,99,Motionless
92,99,Motionless
92,99,Motionless
93,99,Motionless
93,99,Motionless
94,99,Motionless
94,99,Motionless
94,99,Motionless
95,99,Motionless
96,99,Motionless
98,99,Motionless
100,99,Motionless
103,99,Motionless
105,99,Motionless
107,98,Motionless
109,98,Motionless
111,98,Motionless
112,98,Motionless
113,98,Motionless
114,98,Motionless
114,97,Motionless
115,97,Motionless
115,97,Motionless
116,97,Motionless
115,97,Motionless
113,98,Motionless
112,98,Motionless
110,99,Motionless
105,100,Motionless
102,101,Motionless
98,101,Motionless
95,100,Motionless
93,100,Motionless
91,100,Motionless
89,100,Motionless
89,100,Motionless
88,100,Motionless
88,100,Motionless
89,100,Motionless
88,100,Motionless
89,100,Motionless
89,100,Motionless
90,99,Motionless
90,99,Motionless
90,100,Motionless
91,99,Motionless
91,100,Motionless
94,99,Motionless
97,98,Motionless
101,98,Motionless
104,98,Motionless
106,97,Motionless
108,97,Motionless
110,97,Motionless
111,97,Motionless
111,97,Motionless
112,96,Motionless
113,96,Motionless
113,96,Motionless
114,96,Motionless
113,96,Motionless
110,97,Motionless
107,99,Motionless
103,99,Motionless
100,99,Motionless
98,100,Motionless
94,101,Motionless
93,100,Motionless
92,100,Motionless
91,100,Motionless
90,100,Motionless
89,101,Motionless
89,101,Motionless
89,101,Motionless
90,101,Motionless
90,101,Motionless
90,101,Motionless
91,101,Motionless
92,101,Motionless
94,101,Motionless
98,101,Motionless
101,101,Motionless
104,101,Motionless
107,101,Motionless
109,101,Motionless
110,100,Motionless
110,100,Motionless
110,100,Motionless
110,100,Motionless
110,100,Motionless
110,100,Motionless
109,101,Motionless
106,101,Motionless
103,102,Motionless
99,102,Motionless
95,102,Motionless
93,102,Motionless
91,101,Motionless
89,100,Motionless
88,100,Motionless
88,101,Motionless
87,101,Motionless
87,101,Motionless
87,101,Motionless
87,101,Motionless
88,101,Motionless
88,101,Motionless
89,101,Motionless
91,101,Motionless
